id,Normal,Predicted,Probability,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
360,1,good,0.6439891,360,61,male,2,free,,moderate,1239,18,education,good
361,1,good,0.8030429,361,37,male,3,own,,rich,3399,12,radio/TV,good
362,1,good,0.8154956,362,36,female,2,own,little,rich,2247,12,car,good
363,1,good,0.74675155,363,21,male,2,rent,little,,1766,6,furniture/equipment,good
364,0,good,0.7054619,364,25,male,0,own,little,little,2473,18,furniture/equipment,bad
365,1,good,0.81514585,365,36,male,2,own,little,,1542,12,business,good
366,1,good,0.7434207,366,27,male,2,own,little,,3850,18,car,good
367,1,good,0.6230422,367,22,female,2,rent,little,little,3650,18,furniture/equipment,good
368,0,good,0.7249586,368,42,male,2,own,little,little,3446,36,furniture/equipment,bad
369,1,good,0.7039992,369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
370,1,good,0.77332956,370,36,male,2,own,,,3079,36,car,good
371,1,good,0.7522479,371,33,male,2,own,little,,6070,18,radio/TV,good
372,1,good,0.65314245,372,23,female,2,rent,little,,2146,10,furniture/equipment,good
373,1,good,0.6003301,373,63,male,3,free,,,13756,60,car,good
374,0,bad,0.44470945,374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
375,0,bad,0.3110599,375,37,female,2,rent,little,little,7685,48,business,bad
376,1,good,0.79537034,376,34,male,2,own,little,,2320,18,radio/TV,good
377,1,good,0.8123974,377,36,male,2,free,,,846,7,radio/TV,good
378,0,bad,0.38863656,378,57,male,3,free,little,moderate,14318,36,car,bad
379,1,good,0.87382454,379,52,female,1,own,moderate,,362,6,car,good
380,1,good,0.7863057,380,39,male,2,own,,little,2212,20,furniture/equipment,good
381,0,bad,0.24801654,381,38,female,3,free,little,moderate,12976,18,car,bad
382,1,bad,0.30336612,382,25,female,2,rent,,,1283,22,car,good
383,1,good,0.5692946,383,26,male,2,own,little,rich,1330,12,car,good
384,1,good,0.7368249,384,26,male,1,own,moderate,,4272,30,business,good
385,1,good,0.73689985,385,25,female,2,own,little,,2238,18,radio/TV,good
386,1,good,0.5531868,386,21,female,2,rent,,,1126,18,radio/TV,good
387,1,good,0.7715451,387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
388,1,good,0.81165963,388,27,male,2,own,quite rich,moderate,2326,15,business,good
389,1,good,0.7933314,389,27,female,2,own,little,,1449,9,business,good
390,1,good,0.7326116,390,30,male,3,own,little,,1820,18,car,good
391,1,good,0.6903587,391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
392,1,good,0.71139693,392,39,male,3,free,little,little,3249,36,car,good
393,1,good,0.9069941,393,31,female,2,own,little,little,1957,6,radio/TV,good
394,1,good,0.7799394,394,31,male,3,own,little,,2406,9,furniture/equipment,good
395,1,good,0.610991,395,32,male,2,rent,moderate,moderate,11760,39,education,good
396,1,good,0.79700065,396,55,female,3,free,little,little,2578,12,furniture/equipment,good
397,1,good,0.7475636,397,46,male,2,own,little,little,2348,36,furniture/equipment,good
398,0,good,0.59515655,398,46,male,2,rent,little,moderate,1223,12,car,bad
399,1,good,0.88206846,399,43,female,1,own,rich,,1516,24,radio/TV,good
400,1,good,0.8235092,400,39,male,2,own,little,,1473,18,radio/TV,good
401,1,good,0.74881816,401,28,male,2,own,,moderate,1887,18,business,good
402,0,bad,0.48175156,402,27,male,2,own,little,,8648,24,business,bad
403,1,good,0.5389379,403,27,male,1,own,little,,802,14,car,good
404,1,good,0.8270059,404,43,male,2,own,,moderate,2899,18,car,good
405,0,good,0.5498692,405,22,male,2,own,little,moderate,2039,24,radio/TV,bad
406,1,good,0.82053864,406,43,male,2,own,,,2197,24,car,good
407,1,good,0.834958,407,27,male,2,own,little,little,1053,15,radio/TV,good
408,1,good,0.7938163,408,26,male,3,own,quite rich,,3235,24,radio/TV,good
409,0,good,0.5246134,409,28,male,2,own,quite rich,rich,939,12,car,bad
410,1,good,0.674869,410,20,female,2,own,little,moderate,1967,24,radio/TV,good
411,1,good,0.7854923,411,35,male,3,own,little,,7253,33,car,good
412,0,good,0.7294765,412,42,male,3,own,little,,2292,12,business,bad
413,1,good,0.865628,413,40,male,1,rent,quite rich,,1597,10,car,good
414,0,good,0.5295422,414,35,female,2,own,,little,1381,24,car,bad
415,1,good,0.79027915,415,35,male,2,own,little,,5842,36,car,good
416,0,good,0.76800174,416,33,male,1,own,little,little,2579,12,car,bad
417,1,good,0.60377073,417,23,female,2,rent,,little,8471,18,education,good
418,1,good,0.71846914,418,31,female,3,own,quite rich,,2782,21,car,good
419,0,bad,0.40925047,419,33,female,2,own,,moderate,1042,18,car,bad
420,1,good,0.73534936,420,20,female,2,rent,rich,,3186,15,car,good
421,1,good,0.79880714,421,30,male,2,own,,moderate,2028,12,car,good
422,1,good,0.70927685,422,47,male,1,own,little,moderate,958,12,car,good
423,1,good,0.7787117,423,34,male,3,own,moderate,,1591,21,furniture/equipment,good
424,0,good,0.6719852,424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad
425,1,good,0.53872555,425,21,male,2,rent,little,moderate,2779,18,car,good
426,1,good,0.78765154,426,29,male,2,own,little,,2743,28,radio/TV,good
427,1,good,0.82372427,427,46,male,2,own,rich,,1149,18,radio/TV,good
428,1,good,0.71590734,428,20,male,2,own,little,,1313,9,furniture/equipment,good
429,0,good,0.59979427,429,55,female,0,free,little,little,1190,18,repairs,bad
430,1,good,0.86821175,430,74,male,1,own,little,,3448,5,business,good
431,0,bad,0.36503488,431,29,male,3,own,little,moderate,11328,24,vacation/others,bad
432,1,good,0.8303991,432,36,male,3,free,little,little,1872,6,furniture/equipment,good
433,1,good,0.75624156,433,33,male,2,own,little,,2058,24,repairs,good
434,1,good,0.72338307,434,25,male,2,own,little,little,2136,9,furniture/equipment,good
435,0,good,0.6625793,435,25,male,2,own,,moderate,1484,12,radio/TV,bad
436,1,good,0.73709136,436,23,male,1,rent,quite rich,,660,6,repairs,good
437,1,good,0.7200645,437,37,female,2,own,rich,,1287,24,car,good
438,1,good,0.7643351,438,65,male,0,own,little,little,3394,42,repairs,good
439,0,good,0.724893,439,26,female,0,own,little,rich,609,12,business,bad
440,1,good,0.796164,440,39,male,3,own,little,,1884,12,car,good
441,1,good,0.79715985,441,30,female,2,own,little,little,1620,12,furniture/equipment,good
442,1,good,0.7452384,442,29,male,2,own,little,moderate,2629,20,vacation/others,good
443,0,good,0.6956097,443,41,male,1,own,little,,719,12,education,bad
444,0,good,0.550472,444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
445,1,good,0.78195554,445,41,female,1,rent,,,1244,9,education,good
446,0,good,0.5105976,446,34,female,2,own,little,little,1842,36,car,bad
447,1,good,0.923064,447,35,male,2,own,little,moderate,2576,7,radio/TV,good
448,1,good,0.85969925,448,55,female,3,own,,rich,1424,12,furniture/equipment,good
449,0,good,0.7803628,449,61,male,2,own,rich,moderate,1512,15,repairs,bad
450,1,good,0.68247,450,30,male,3,own,,,11054,36,car,good
451,1,good,0.8497013,451,29,female,2,own,little,,518,6,radio/TV,good
452,1,good,0.81624174,452,34,male,2,own,little,,2759,12,furniture/equipment,good
453,1,good,0.78461635,453,35,male,3,own,little,,2670,24,car,good
454,0,good,0.72576344,454,31,male,2,own,little,little,4817,24,car,bad
455,1,good,0.69754225,455,29,female,3,own,little,,2679,24,car,good
456,1,good,0.8638686,456,36,male,2,rent,little,little,3905,11,car,good
457,0,good,0.69278055,457,35,male,2,free,little,little,3386,12,car,bad
458,1,good,0.803523,458,27,female,2,own,little,little,343,6,domestic appliances,good
459,1,good,0.7849339,459,32,male,2,own,little,,4594,18,radio/TV,good
460,1,good,0.7830661,460,37,male,2,own,little,little,3620,36,furniture/equipment,good
461,1,good,0.8109199,461,36,male,2,own,little,little,1721,15,car,good
462,1,good,0.7247905,462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
463,1,good,0.6899231,463,38,male,2,own,,moderate,754,12,education,good
464,1,good,0.76058656,464,34,male,2,own,little,,1950,18,business,good
465,1,good,0.85342336,465,63,male,2,own,little,little,2924,24,car,good
466,0,good,0.53668517,466,29,female,1,rent,little,little,1659,24,radio/TV,bad
467,1,good,0.7076296,467,32,male,2,own,,,7238,48,radio/TV,good
468,1,good,0.64347124,468,26,female,2,own,little,,2764,33,business,good
469,1,good,0.7437364,469,35,male,1,own,little,,4679,24,car,good
470,0,bad,0.45364463,470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
471,0,good,0.71420395,471,23,female,2,own,little,little,448,6,education,bad
472,0,bad,0.47933012,472,28,male,1,own,little,little,654,9,car,bad
473,1,good,0.8498766,473,36,male,3,own,,,1238,6,education,good
474,0,good,0.61473846,474,33,male,2,own,little,moderate,1245,18,radio/TV,bad
475,0,good,0.5730052,475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad
476,1,good,0.6743339,476,24,male,2,own,quite rich,,2569,39,car,good
477,1,good,0.7241726,477,25,male,2,own,little,rich,5152,24,radio/TV,good
478,1,good,0.7890237,478,39,male,1,own,moderate,moderate,1037,12,business,good
479,1,good,0.8437197,479,44,male,2,own,little,little,1478,15,furniture/equipment,good
480,1,good,0.7902322,480,23,female,1,own,little,moderate,3573,12,radio/TV,good
481,1,good,0.5930766,481,26,male,2,own,little,moderate,1201,24,car,good
482,1,good,0.79322165,482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
483,1,good,0.77730733,483,30,female,2,own,rich,,960,15,furniture/equipment,good
484,1,good,0.7413469,484,44,male,2,own,quite rich,,1163,12,car,good
485,0,good,0.6574185,485,47,male,3,own,little,moderate,1209,6,car,bad
486,1,good,0.8902251,486,52,male,2,own,little,,3077,12,radio/TV,good
487,1,good,0.78018814,487,62,female,2,free,little,,3757,24,car,good
488,1,good,0.83521277,488,35,male,1,rent,moderate,,1418,10,car,good
489,1,good,0.7315787,489,26,male,2,rent,little,,3518,6,car,good
490,1,good,0.83098596,490,26,male,2,own,little,,1934,12,radio/TV,good
491,0,bad,0.37971693,491,42,female,3,free,little,moderate,8318,27,business,bad
492,1,good,0.89593387,492,27,female,2,own,moderate,,1237,6,radio/TV,good
493,1,good,0.88602406,493,38,male,2,own,,moderate,368,6,radio/TV,good
494,1,good,0.7970644,494,39,male,1,rent,little,little,2122,12,car,good
495,0,good,0.6747679,495,20,male,2,own,,little,2996,24,furniture/equipment,bad
496,0,bad,0.32018563,496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
497,1,good,0.7794445,497,40,male,2,own,little,,1585,24,furniture/equipment,good
498,1,good,0.66265655,498,32,male,1,own,little,moderate,1301,18,radio/TV,good
499,1,good,0.78333914,499,28,male,2,own,moderate,rich,1323,6,car,good
500,0,good,0.69754225,500,27,female,2,own,little,little,3123,24,car,bad
501,1,good,0.7102181,501,42,male,2,free,little,little,5493,36,car,good
502,1,good,0.9098603,502,49,male,2,own,moderate,rich,1126,9,radio/TV,good
503,0,good,0.6127052,503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
504,0,bad,0.30336612,504,24,female,2,rent,little,little,1207,24,car,bad
505,0,good,0.60142404,505,27,male,1,own,,,1309,10,car,bad
506,1,good,0.83105856,506,36,male,2,own,quite rich,rich,2360,15,car,good
507,0,good,0.67579645,507,34,male,3,own,moderate,moderate,6850,15,car,bad
508,1,good,0.7742192,508,28,male,2,own,little,,1413,24,radio/TV,good
509,1,good,0.7757612,509,45,male,3,own,moderate,,8588,39,car,good
510,0,bad,0.44618234,510,26,male,2,own,little,little,759,12,car,bad
511,1,good,0.77267176,511,32,male,3,free,little,,4686,36,car,good
512,1,good,0.7274594,512,26,male,2,rent,little,rich,2687,15,business,good
513,1,good,0.60051554,513,20,male,2,rent,little,moderate,585,12,radio/TV,good
514,1,good,0.84322363,514,54,male,2,own,,,2255,24,car,good
515,1,good,0.86534536,515,37,female,2,own,little,little,609,6,car,good
516,1,good,0.90749276,516,40,male,1,own,little,little,1361,6,car,good
517,0,bad,0.43210945,517,23,female,2,rent,little,,7127,36,furniture/equipment,bad
518,1,good,0.8000415,518,43,male,2,own,moderate,little,1203,6,car,good
519,1,good,0.8123974,519,36,male,2,free,,,700,6,radio/TV,good
520,1,good,0.7197988,520,44,male,2,free,little,,5507,24,repairs,good
521,0,good,0.7810568,521,24,female,2,own,little,little,3190,18,radio/TV,bad
522,0,bad,0.331653,522,53,male,2,free,little,little,7119,48,furniture/equipment,bad
523,1,good,0.7285288,523,23,female,2,own,moderate,,3488,24,car,good
524,1,good,0.7821188,524,26,female,1,own,little,moderate,1113,18,radio/TV,good
525,1,good,0.68473446,525,30,male,2,own,little,moderate,7966,26,car,good
526,1,good,0.75273395,526,31,female,2,own,moderate,,1532,15,education,good
527,1,good,0.9265958,527,42,male,1,own,little,,1503,4,radio/TV,good
528,0,good,0.58779603,528,31,male,2,rent,little,little,2302,36,radio/TV,bad
529,1,good,0.8761384,529,41,male,1,own,little,little,662,6,car,good
530,1,good,0.73281986,530,32,male,2,own,little,moderate,2273,36,education,good
531,0,good,0.61850476,531,28,female,2,rent,moderate,moderate,2631,15,car,bad
532,1,good,0.798645,532,41,male,2,rent,little,,1503,12,car,good
533,1,good,0.7634109,533,26,male,2,own,moderate,,1311,24,radio/TV,good
534,1,good,0.75100744,534,25,male,2,own,,,3105,24,radio/TV,good
535,0,good,0.52658015,535,33,male,2,rent,little,rich,2319,21,education,bad
536,1,good,0.87729305,536,75,female,3,own,,little,1374,6,car,good
537,1,good,0.7521954,537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good
538,0,bad,0.4868204,538,42,male,3,free,little,little,7763,48,car,bad
539,1,good,0.83683324,539,45,female,1,own,little,rich,3049,18,furniture/equipment,good
540,0,good,0.57685786,540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
541,1,good,0.70654315,541,60,male,2,free,little,,2032,24,car,good
542,0,good,0.71777695,542,31,male,2,own,,little,6350,30,furniture/equipment,bad
543,0,good,0.75474256,543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad
544,1,good,0.8229757,544,61,male,1,own,little,,1255,12,car,good
545,0,bad,0.495726,545,43,male,2,free,little,little,1333,24,car,bad
546,1,good,0.73520666,546,37,female,2,own,little,,2022,24,car,good
547,1,good,0.78872204,547,32,male,2,own,little,,1552,24,radio/TV,good
548,0,good,0.65170896,548,24,female,1,own,little,little,626,12,radio/TV,bad
549,1,bad,0.4659746,549,35,male,2,free,,,8858,48,car,good
550,1,good,0.6672858,550,23,female,2,own,,,996,12,repairs,good
551,1,good,0.93128,551,45,male,1,own,quite rich,,1750,6,radio/TV,good
552,0,good,0.6166945,552,34,male,2,own,little,little,6999,48,radio/TV,bad
553,1,good,0.7840571,553,27,male,2,own,moderate,moderate,1995,12,car,good
554,1,good,0.7382811,554,67,female,3,own,little,moderate,1199,9,education,good
555,0,good,0.5676136,555,22,male,2,own,little,moderate,1331,12,radio/TV,bad
556,0,good,0.6293081,556,28,female,2,own,moderate,moderate,2278,18,car,bad
557,0,good,0.6067555,557,29,female,2,own,,,5003,21,car,bad
558,0,good,0.7514288,558,27,male,2,own,little,little,3552,24,furniture/equipment,bad
559,0,good,0.7387331,559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
560,1,good,0.7484925,560,49,male,2,free,,little,2964,24,car,good
561,0,good,0.50238734,561,24,male,1,rent,little,little,1546,24,radio/TV,bad
562,1,good,0.8837131,562,29,female,2,own,little,rich,683,6,radio/TV,good
563,0,bad,0.4609613,563,37,male,2,free,,moderate,12389,36,car,bad
564,1,good,0.70157725,564,37,male,3,own,,moderate,4712,24,business,good
565,1,good,0.6019067,565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
566,0,good,0.7359587,566,36,male,2,own,little,little,1372,12,car,bad
567,1,good,0.85315704,567,34,male,2,own,rich,,2578,24,radio/TV,good
568,1,good,0.6616857,568,41,male,2,own,,moderate,3979,48,radio/TV,good
569,0,good,0.53171515,569,31,female,2,own,little,little,6758,48,radio/TV,bad
570,0,good,0.5698571,570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
571,1,good,0.76237816,571,38,male,2,own,little,,5954,30,radio/TV,good
572,1,good,0.7560199,572,26,female,3,rent,,,5433,24,car,good
573,1,good,0.71723634,573,22,female,1,own,little,little,806,15,business,good
574,1,good,0.85355294,574,27,male,1,own,little,moderate,1082,9,radio/TV,good
575,1,good,0.7338882,575,24,female,2,own,little,,2788,15,furniture/equipment,good
576,1,good,0.8093082,576,27,female,2,own,little,moderate,2930,12,radio/TV,good
577,1,good,0.66813654,577,33,female,2,own,,,1927,24,education,good
578,0,good,0.6742646,578,27,male,2,own,little,moderate,2820,36,car,bad
579,1,good,0.6637331,579,27,male,1,own,little,,937,24,education,good
580,0,good,0.5641319,580,30,male,2,own,little,moderate,1056,18,car,bad
581,1,good,0.866158,581,49,male,1,own,little,moderate,3124,12,car,good
582,1,good,0.71657103,582,26,female,2,rent,little,,1388,9,furniture/equipment,good
583,0,good,0.526933,583,33,male,1,rent,little,moderate,2384,36,repairs,bad
584,1,good,0.7892133,584,52,female,3,free,,,2133,12,car,good
585,0,bad,0.44346252,585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
586,1,good,0.8514156,586,36,male,2,rent,little,little,2799,9,car,good
587,1,good,0.7102075,587,21,male,1,own,little,little,1289,12,furniture/equipment,good
588,0,good,0.59173936,588,47,male,1,own,little,little,1217,18,domestic appliances,bad
589,0,good,0.87726235,589,60,male,2,own,little,little,2246,12,furniture/equipment,bad
590,1,good,0.8519491,590,58,female,1,own,little,little,385,12,radio/TV,good
591,1,good,0.6199381,591,42,female,2,rent,,moderate,1965,24,car,good
592,1,good,0.8595257,592,36,female,1,own,rich,,1572,21,business,good
593,0,bad,0.4035238,593,20,female,1,rent,little,moderate,2718,24,car,bad
594,0,good,0.6503563,594,40,male,3,own,,little,1358,24,vacation/others,bad
595,0,good,0.76455843,595,32,female,1,own,moderate,moderate,931,6,car,bad
596,0,bad,0.44222698,596,23,female,2,rent,little,little,1442,24,car,bad
597,0,good,0.65803045,597,36,male,1,own,little,moderate,4241,24,business,bad
598,0,good,0.72571397,598,31,male,2,own,little,,2775,18,car,bad
599,1,good,0.66857094,599,32,male,2,free,little,,3863,24,business,good
600,1,good,0.92124397,600,45,female,2,own,little,moderate,2329,7,radio/TV,good
601,0,good,0.6945882,601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
602,0,bad,0.48099628,602,34,female,1,free,little,moderate,1837,24,education,bad
603,0,good,0.61070055,603,28,female,3,own,little,,3349,36,furniture/equipment,bad
604,1,good,0.71711236,604,23,female,2,own,little,rich,1275,10,furniture/equipment,good
605,1,good,0.6954508,605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
606,1,good,0.6632118,606,74,male,3,own,little,,4526,24,business,good
607,0,bad,0.4726588,607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
608,1,good,0.78872204,608,33,male,2,own,little,,2051,18,radio/TV,good
609,1,good,0.6429309,609,45,male,2,free,,,1300,15,car,good
610,0,good,0.5614624,610,22,female,2,own,moderate,little,741,12,domestic appliances,bad
611,0,good,0.5796757,611,48,female,1,free,moderate,rich,1240,10,car,bad
612,1,good,0.84758765,612,29,female,2,own,rich,little,3357,21,radio/TV,good
613,1,good,0.6495414,613,22,female,2,rent,little,little,3632,24,car,good
614,0,good,0.5900543,614,22,female,2,own,little,,1808,18,furniture/equipment,bad
615,1,good,0.5772658,615,48,male,3,own,,moderate,12204,48,business,good
616,1,good,0.71125376,616,27,male,3,free,,moderate,9157,60,radio/TV,good
617,1,good,0.8361571,617,37,male,2,rent,little,little,3676,6,car,good
618,0,good,0.50304633,618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
619,1,good,0.76093495,619,49,male,1,own,little,,640,12,car,good
620,1,good,0.75858986,620,27,male,2,own,little,moderate,3652,21,business,good
621,0,good,0.7470798,621,32,male,2,own,little,,1530,18,car,bad
622,0,bad,0.4744197,622,38,male,2,own,,,3914,48,business,bad
623,1,good,0.62041485,623,22,female,2,rent,little,little,1858,12,furniture/equipment,good
624,0,good,0.7346721,624,65,male,2,free,little,little,2600,18,radio/TV,bad
625,1,good,0.83921427,625,35,male,2,own,,,1979,15,radio/TV,good
626,1,good,0.9150726,626,41,male,2,own,little,rich,2116,6,furniture/equipment,good
627,0,good,0.6055218,627,29,male,2,own,moderate,moderate,1437,9,car,bad
628,1,good,0.7969144,628,36,male,2,own,quite rich,,4042,42,furniture/equipment,good
629,1,good,0.90927124,629,64,male,1,own,,,3832,9,education,good
630,1,good,0.78834033,630,28,female,2,own,little,little,3660,24,radio/TV,good
631,0,good,0.8056921,631,44,male,2,own,little,little,1553,18,furniture/equipment,bad
632,1,good,0.6677167,632,23,male,2,own,,moderate,1444,15,radio/TV,good
633,0,good,0.59613335,633,19,female,2,rent,little,,1980,9,furniture/equipment,bad
634,0,bad,0.4379286,634,25,female,1,own,little,moderate,1355,24,car,bad
635,1,good,0.8359114,635,47,male,2,own,little,,1393,12,education,good
636,1,good,0.7676988,636,28,female,2,own,quite rich,,1376,24,radio/TV,good
637,1,good,0.62296873,637,21,male,2,own,little,,15653,60,radio/TV,good
638,1,good,0.8256861,638,34,female,2,own,little,,1493,12,radio/TV,good
639,0,bad,0.43709025,639,26,male,2,own,little,little,4370,42,radio/TV,bad
640,0,good,0.510294,640,27,female,0,own,little,little,750,18,education,bad
641,1,good,0.7776237,641,38,male,1,own,little,moderate,1308,15,repairs,good
642,0,good,0.64709526,642,40,male,3,own,moderate,,4623,15,education,bad
643,1,good,0.78872204,643,33,male,2,own,little,,1851,24,radio/TV,good
644,1,good,0.79281396,644,32,male,3,own,little,little,1880,18,radio/TV,good
645,0,bad,0.3319641,645,27,male,2,rent,,,7980,36,business,bad
646,1,good,0.7446076,646,32,male,2,own,little,little,4583,30,furniture/equipment,good
647,0,good,0.5993587,647,26,female,2,own,quite rich,,1386,12,car,bad
648,0,bad,0.43883333,648,38,male,2,free,little,rich,947,24,car,bad
649,0,good,0.72832775,649,40,male,1,rent,little,little,684,12,education,bad
650,1,bad,0.45235214,650,50,male,3,free,little,little,7476,48,education,good
651,0,good,0.83104944,651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
652,0,good,0.82805103,652,45,male,2,own,little,little,2303,24,car,bad
653,0,good,0.61020607,653,42,male,3,own,moderate,moderate,8086,36,car,bad
654,1,good,0.7733153,654,35,male,2,own,little,,2346,24,car,good
655,1,good,0.69563913,655,22,male,2,free,little,little,3973,14,car,good
656,0,good,0.69584787,656,41,male,1,own,little,moderate,888,12,car,bad
657,1,good,0.74514025,657,37,male,2,own,,,10222,48,radio/TV,good
658,1,good,0.54072154,658,28,female,2,own,little,moderate,4221,30,business,good
659,1,good,0.7765546,659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good
660,1,good,0.6048253,660,23,male,2,rent,little,rich,1297,12,radio/TV,good
661,0,bad,0.48866248,661,23,male,2,own,,little,900,12,car,bad
662,1,good,0.84377307,662,50,male,2,own,little,,2241,21,furniture/equipment,good
663,1,good,0.71603686,663,35,male,3,own,little,moderate,1050,6,furniture/equipment,good
664,1,good,0.8915844,664,50,female,1,own,little,rich,1047,6,education,good
665,1,good,0.7301296,665,27,male,3,own,little,,6314,24,vacation/others,good
666,1,good,0.81371546,666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
667,1,good,0.67765856,667,27,female,2,own,little,,3609,48,business,good
668,0,good,0.79708594,668,43,male,2,rent,little,little,4843,12,car,bad
669,1,good,0.8439916,669,47,male,2,own,little,rich,3017,30,radio/TV,good
670,1,good,0.78228325,670,27,male,1,own,moderate,,4139,24,business,good
671,1,good,0.7699442,671,31,male,2,own,moderate,,5742,36,business,good
672,1,good,0.6388327,672,42,male,3,own,little,,10366,60,car,good
673,1,good,0.8539974,673,24,male,2,own,quite rich,,2080,6,car,good
674,0,good,0.7497065,674,41,male,1,own,quite rich,,2580,21,business,bad
675,1,good,0.76649183,675,26,female,3,rent,little,,4530,30,radio/TV,good
676,1,good,0.7617755,676,33,male,2,own,little,,5150,24,furniture/equipment,good
677,0,good,0.5433312,677,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
678,1,good,0.70479906,678,64,male,1,rent,little,little,2384,24,radio/TV,good
679,1,good,0.751691,679,26,female,2,own,little,,1453,18,radio/TV,good
680,1,good,0.9255705,680,56,female,2,own,little,,1538,6,education,good
681,1,good,0.79315615,681,37,male,2,free,,,2279,12,radio/TV,good
682,1,good,0.83007044,682,33,male,2,own,little,,1478,15,radio/TV,good
683,1,good,0.7313208,683,47,male,2,free,little,,5103,24,radio/TV,good
684,1,good,0.6349803,684,31,male,1,own,moderate,moderate,9857,36,business,good
685,1,bad,0.49462053,685,34,male,2,free,,,6527,60,car,good
686,1,good,0.79690266,686,27,male,2,own,,rich,1347,10,radio/TV,good
687,1,good,0.56903887,687,30,male,2,free,moderate,moderate,2862,36,car,good
688,1,good,0.8929837,688,35,male,2,own,moderate,,2753,9,radio/TV,good
689,1,good,0.8008431,689,31,male,2,own,rich,little,3651,12,car,good
690,1,good,0.69200814,690,25,male,2,own,little,little,975,15,furniture/equipment,good
691,1,good,0.7198652,691,25,female,1,own,moderate,moderate,2631,15,repairs,good
692,1,good,0.73712564,692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
693,1,good,0.8154991,693,44,male,1,own,,little,4716,6,car,good
694,1,good,0.7651597,694,28,male,2,own,little,,2284,24,radio/TV,good
695,1,good,0.9099501,695,50,male,2,rent,quite rich,,1236,6,car,good
696,1,good,0.7899084,696,29,male,2,own,little,moderate,1103,12,radio/TV,good
697,1,good,0.69745743,697,38,female,0,own,little,,926,12,car,good
698,1,good,0.75011414,698,24,male,2,own,little,,1800,18,radio/TV,good
699,1,good,0.8003989,699,40,male,3,rent,little,rich,1905,15,education,good
700,0,good,0.5896503,700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,bad
701,0,bad,0.3609239,701,46,male,2,free,little,little,6331,48,car,bad
702,1,good,0.6760584,702,47,female,2,free,moderate,rich,1377,24,radio/TV,good
703,1,good,0.74751097,703,41,male,2,own,moderate,moderate,2503,30,business,good
704,1,good,0.7127231,704,32,female,2,own,little,moderate,2528,27,business,good
705,1,good,0.7570452,705,35,female,2,free,quite rich,,5324,15,car,good
706,0,bad,0.48307577,706,24,male,2,own,moderate,moderate,6560,48,car,bad
707,0,good,0.5830713,707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
708,1,good,0.6842644,708,25,female,2,own,little,moderate,1206,9,radio/TV,good
709,1,good,0.8869712,709,37,male,1,own,little,moderate,2118,9,radio/TV,good
710,1,good,0.76418704,710,32,male,3,own,quite rich,,629,18,radio/TV,good
711,0,good,0.5885191,711,35,female,2,free,little,little,1198,6,education,bad
712,1,good,0.83154386,712,46,male,3,own,,,2476,21,car,good
713,1,good,0.7549687,713,25,male,1,own,little,little,1138,9,radio/TV,good
714,0,bad,0.45465457,714,27,male,3,own,little,moderate,14027,60,car,bad
715,1,good,0.7139902,715,63,male,2,own,,,7596,30,car,good
716,1,good,0.8407569,716,40,male,2,own,,,3077,30,radio/TV,good
717,1,good,0.77007633,717,32,male,3,free,little,,1505,18,radio/TV,good
718,1,good,0.7596504,718,31,male,2,own,,rich,3148,24,radio/TV,good
719,1,good,0.77957535,719,31,male,2,own,moderate,moderate,6148,20,car,good
720,0,good,0.7433131,720,34,male,3,own,little,rich,1337,9,radio/TV,bad
721,0,good,0.6772606,721,24,female,2,rent,rich,moderate,433,6,education,bad
722,0,bad,0.49060446,722,24,female,1,own,little,little,1228,12,car,bad
723,1,good,0.9063639,723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
